name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Bharat Singh,Amazon,Bharat Singh,Bharat Singh,Bharat Singh,Bharat Singh,Bharat Singh,Bharat Singh
Raphael Pelossof,Tempus Labs,Raphael Pelossof,Raphael Pelossof,Raphael Pelossof,Raphael Pelossof,Raphael Pelossof,Raphael Pelossof
Akshay Asthana,"Principal Scientist, Seeing Machines Inc.",Akshay Asthana,Akshay Asthana,Akshay Asthana,Akshay Asthana,Akshay Asthana,Akshay Asthana
Kinh Tieu,Unknown affiliation,Kinh Tieu,Kinh Tieu,Kinh Tieu,Kinh Tieu,Kinh Tieu,Kinh Tieu
Rohith Mv,University of Delaware,Rohith Mv,Rohith Mv,Rohith Mv,Rohith Mv,Rohith Mv,Rohith Mv
Pankaj K. Agarwal,Duke University,Pankaj K. Agarwal,Pankaj K. Agarwal,Pankaj K. Agarwal,Pankaj K. Agarwal,Pankaj K. Agarwal,Pankaj K. Agarwal
T. M. Murali,"Department of Computer Science, Virginia Tech",T. M. Murali,T. M. Murali,T. M. Murali,T. M. Murali,T. M. Murali,T. M. Murali
Chavdar Papazov,Apple,Chavdar Papazov,Chavdar Papazov,Chavdar Papazov,Chavdar Papazov,Chavdar Papazov,Chavdar Papazov
Ming Shao,UMass Dartmouth (Assistant Prof.),Ming Shao,Ming Shao,Ming Shao,Ming Shao,Ming Shao,Ming Shao
Suren Kumar,Amazon Inc.,Suren Kumar,Suren Kumar,Suren Kumar,Suren Kumar,Suren Kumar,Suren Kumar
Ritwik Kumar,"Director, Machine Learning, Netflix",Ritwik Kumar,Ritwik Kumar,Ritwik Kumar,Ritwik Kumar,Ritwik Kumar,Ritwik Kumar
Tat-Jen Cham,Nanyang Technological University,Tat-Jen Cham,Tat-Jen Cham,Tat-Jen Cham,Tat-Jen Cham,Tat-Jen Cham,Tat-Jen Cham
Andreas Veit,"Research Scientist, Google",Andreas Veit,Andreas Veit,Andreas Veit,Andreas Veit,Andreas Veit,Andreas Veit
Hayit Greenspan,Tel-Aviv University,Hayit Greenspan,Hayit Greenspan,Hayit Greenspan,Hayit Greenspan,Hayit Greenspan,Hayit Greenspan
David Kriegman,"Professor of Computer Science, University of California, San Diego",David Kriegman,David Kriegman,David Kriegman,David Kriegman,David Kriegman,David Kriegman
Sameer Agarwal,Google & University of Washington,Sameer Agarwal,Sameer Agarwal,Sameer Agarwal,Sameer Agarwal,Sameer Agarwal,Sameer Agarwal
Brooks Paige,"Associate Professor, University College London",Brooks Paige,Brooks Paige,Brooks Paige,Brooks Paige,Brooks Paige,Brooks Paige
Frank Wood,University of British Columbia,Frank Wood,Frank Wood,Frank Wood,Frank Wood,Frank Wood,Frank Wood
Tom Rainforth,University of Oxford,Tom Rainforth,Tom Rainforth,Tom Rainforth,Tom Rainforth,Tom Rainforth,Tom Rainforth
Yee Whye Teh,"Professor of Statistical Machine Learning, Oxford, Research Scientist, DeepMind",Yee Whye Teh,Yee Whye Teh,Yee Whye Teh,Yee Whye Teh,Yee Whye Teh,Yee Whye Teh
Alban Desmaison,University of Oxford,Alban Desmaison,Alban Desmaison,Alban Desmaison,Alban Desmaison,Alban Desmaison,Alban Desmaison
Nantas Nardelli,"Carbon Re, University of Oxford",Nantas Nardelli,Nantas Nardelli,Nantas Nardelli,Nantas Nardelli,Nantas Nardelli,Nantas Nardelli
Yuge Shi,University of Oxford,Yuge Shi,Yuge Shi,Yuge Shi,Yuge Shi,Yuge Shi,Yuge Shi
Emile Mathieu,"PhD student in Statistics, University of Oxford",Emile Mathieu,Emile Mathieu,Emile Mathieu,Emile Mathieu,Emile Mathieu,Emile Mathieu
Ondrej Miksik,Microsoft Mixed Reality & AI Lab Zurich,Ondrej Miksik,Ondrej Miksik,Ondrej Miksik,Ondrej Miksik,Ondrej Miksik,Ondrej Miksik
Puneet K. Dokania,University of Oxford | Five AI,Puneet K. Dokania,Puneet K. Dokania,Puneet K. Dokania,Puneet K. Dokania,Puneet K. Dokania,Puneet K. Dokania
Babak Esmaeili,University of Amsterdam,Babak Esmaeili,Babak Esmaeili,Babak Esmaeili,Babak Esmaeili,Babak Esmaeili,Babak Esmaeili
Sarthak Jain,Northeastern University,Sarthak Jain,Sarthak Jain,Sarthak Jain,Sarthak Jain,Sarthak Jain,Sarthak Jain
Ugo Pattacini,"Technologist, Istituto Italiano di Tecnologia",Ugo Pattacini,Ugo Pattacini,Ugo Pattacini,Ugo Pattacini,Ugo Pattacini,Ugo Pattacini
Marco Maggiali,IIT,Marco Maggiali,Marco Maggiali,Marco Maggiali,Marco Maggiali,Marco Maggiali,Marco Maggiali
Vadim Tikhanoff,Istituto Italiano di Tecnologia,Vadim Tikhanoff,Vadim Tikhanoff,Vadim Tikhanoff,Vadim Tikhanoff,Vadim Tikhanoff,Vadim Tikhanoff
Paul Fitzpatrick,Grist Labs,Paul Fitzpatrick,Paul Fitzpatrick,Paul Fitzpatrick,Paul Fitzpatrick,Paul Fitzpatrick,Paul Fitzpatrick
Alexander Schmitz,Associate Professor at Waseda University,Alexander Schmitz,Alexander Schmitz,Alexander Schmitz,Alexander Schmitz,Alexander Schmitz,Alexander Schmitz
Lorenzo Jamone,"Senior Lecturer (Associate Professor), Robotics, ARQ @ Queen Mary University of London.",Lorenzo Jamone,Lorenzo Jamone,Lorenzo Jamone,Lorenzo Jamone,Lorenzo Jamone,Lorenzo Jamone
Giorgio Cannata,Universita' di Genova,Giorgio Cannata,Giorgio Cannata,Giorgio Cannata,Giorgio Cannata,Giorgio Cannata,Giorgio Cannata
Ali Paikan,Istituto Italiano di Tecnologia (IIT),Ali Paikan,Ali Paikan,Ali Paikan,Ali Paikan,Ali Paikan,Ali Paikan
David Vernon,Carnegie Mellon University Africa,David Vernon,David Vernon,David Vernon,David Vernon,David Vernon,David Vernon
Giulia Vezzani,DeepMind,Giulia Vezzani,Giulia Vezzani,Giulia Vezzani,Giulia Vezzani,Giulia Vezzani,Giulia Vezzani
Andrea Del Prete,"Associate Professor, University of Trento",Andrea Del Prete,Andrea Del Prete,Andrea Del Prete,Andrea Del Prete,Andrea Del Prete,Andrea Del Prete
Chiara Bartolozzi,"Researcher, Fondazione Istituto Italiano di Tecnologia",Chiara Bartolozzi,Chiara Bartolozzi,Chiara Bartolozzi,Chiara Bartolozzi,Chiara Bartolozzi,Chiara Bartolozzi
Matteo Fumagalli,Danish Technical University - DTU,Matteo Fumagalli,Matteo Fumagalli,Matteo Fumagalli,Matteo Fumagalli,Matteo Fumagalli,Matteo Fumagalli
Perla Maiolino,"Associate Prof., Engineering Science Dep., Oxford Robotics Institute, University of Oxford",Perla Maiolino,Perla Maiolino,Perla Maiolino,Perla Maiolino,Perla Maiolino,Perla Maiolino
Neil Bramley,The University of Edinburgh,Neil Bramley,Neil Bramley,Neil Bramley,Neil Bramley,Neil Bramley,Neil Bramley
Jonathan Phillips,Dartmouth College,Jonathan Phillips,Jonathan Phillips,Jonathan Phillips,Jonathan Phillips,Jonathan Phillips,Jonathan Phillips
Joshua Knobe,Yale University,Joshua Knobe,Joshua Knobe,Joshua Knobe,Joshua Knobe,Joshua Knobe,Joshua Knobe
Thomas Icard,Stanford University,Thomas Icard,Thomas Icard,Thomas Icard,Thomas Icard,Thomas Icard,Thomas Icard
Jonathan F. Kominsky,"Postdoctoral researcher, Harvard Graduate School of Education",Jonathan F. Kominsky,Jonathan F. Kominsky,Jonathan F. Kominsky,Jonathan F. Kominsky,Jonathan F. Kominsky,Jonathan F. Kominsky
Ro'i Zultan,"Department of Economics, Ben-Gurion University of the Negev",Ro'i Zultan,Ro'i Zultan,Ro'i Zultan,Ro'i Zultan,Ro'i Zultan,Ro'i Zultan
Adam Morris,Harvard University,Adam Morris,Adam Morris,Adam Morris,Adam Morris,Adam Morris,Adam Morris
Ralf Mayrhofer,"Postdoctoral Researcher, Department of Psychology, University of Göttingen",Ralf Mayrhofer,Ralf Mayrhofer,Ralf Mayrhofer,Ralf Mayrhofer,Ralf Mayrhofer,Ralf Mayrhofer
Matthew F. Peterson,"Project Scientist, Psychological & Brain Sciences, UC Santa Barbara",Matthew F. Peterson,Matthew F. Peterson,Matthew F. Peterson,Matthew F. Peterson,Matthew F. Peterson,Matthew F. Peterson
Joshua Hartshorne,Boston College,Joshua Hartshorne,Joshua Hartshorne,Joshua Hartshorne,Joshua Hartshorne,Joshua Hartshorne,Joshua Hartshorne
David R. Mandel,Defence Research and Development Canada and York University,David R. Mandel,David R. Mandel,David R. Mandel,David R. Mandel,David R. Mandel,David R. Mandel
Denis Hilton,University of Toulouse,Denis Hilton,Denis Hilton,Denis Hilton,Denis Hilton,Denis Hilton,Denis Hilton
Edwin Olson,Professor of Electrical Engineering and Computer Science,Edwin Olson,Edwin Olson,Edwin Olson,Edwin Olson,Edwin Olson,Edwin Olson
Hari Balakrishnan,MIT,Hari Balakrishnan,Hari Balakrishnan,Hari Balakrishnan,Hari Balakrishnan,Hari Balakrishnan,Hari Balakrishnan
Michael Bosse,Zoox,Michael Bosse,Michael Bosse,Michael Bosse,Michael Bosse,Michael Bosse,Michael Bosse
Sertac Karaman,"Associate Professor of Aeronautics and Astronautics, Massachusetts Institute of Technology",Sertac Karaman,Sertac Karaman,Sertac Karaman,Sertac Karaman,Sertac Karaman,Sertac Karaman
Erik Demaine,"Professor of Electrical Engineering and Computer Science, Massachusetts Institute of Technology",Erik Demaine,Erik Demaine,Erik Demaine,Erik Demaine,Erik Demaine,Erik Demaine
Kavita Bala,Cornell University,Kavita Bala,Kavita Bala,Kavita Bala,Kavita Bala,Kavita Bala,Kavita Bala
Thomas Funkhouser,Princeton University,Thomas Funkhouser,Thomas Funkhouser,Thomas Funkhouser,Thomas Funkhouser,Thomas Funkhouser,Thomas Funkhouser
Alejandro Perez,MIT,Alejandro Perez,Alejandro Perez,Alejandro Perez,Alejandro Perez,Alejandro Perez,Alejandro Perez
Einat Minkov,"Univ. of Haifa, Israel",Einat Minkov,Einat Minkov,Einat Minkov,Einat Minkov,Einat Minkov,Einat Minkov
Wei Feng,"School of Computer Science and Technology, College of Intelligence and Computing, Tianjin University",Wei Feng,Wei Feng,Wei Feng,Wei Feng,Wei Feng,Wei Feng
Hongkai Yu,"Assistant Professor, Cleveland State University",Hongkai Yu,Hongkai Yu,Hongkai Yu,Hongkai Yu,Hongkai Yu,Hongkai Yu
Kang Zheng,PAII Inc.,Kang Zheng,Kang Zheng,Kang Zheng,Kang Zheng,Kang Zheng,Kang Zheng
Qin Zou,"Computer Science, Wuhan University",Qin Zou,Qin Zou,Qin Zou,Qin Zou,Qin Zou,Qin Zou
Yuewei Lin,Brookhaven National Laboratory,Yuewei Lin,Yuewei Lin,Yuewei Lin,Yuewei Lin,Yuewei Lin,Yuewei Lin
Youjie Zhou,Google,Youjie Zhou,Youjie Zhou,Youjie Zhou,Youjie Zhou,Youjie Zhou,Youjie Zhou
Jarrell Waggoner,"Rally Health, Inc.",Jarrell Waggoner,Jarrell Waggoner,Jarrell Waggoner,Jarrell Waggoner,Jarrell Waggoner,Jarrell Waggoner
Xiaochuan Fan,JD.com,Xiaochuan Fan,Xiaochuan Fan,Xiaochuan Fan,Xiaochuan Fan,Xiaochuan Fan,Xiaochuan Fan
Li Qing-Quan,"Shenzhen University, Wuhan University",Li Qing-Quan,Li Qing-Quan,Li Qing-Quan,Li Qing-Quan,Li Qing-Quan,Li Qing-Quan
Liang Wan,"College of Intelligence and Computing, Medical College, Tianjin University",Liang Wan,Liang Wan,Liang Wan,Liang Wan,Liang Wan,Liang Wan
Lili Ju,"Professor of Mathematics, University of South Carolina",Lili Ju,Lili Ju,Lili Ju,Lili Ju,Lili Ju,Lili Ju
"Guo, Qing (郭青)",Nanyang Technological University,"Guo, Qing (郭青)","Guo, Qing (郭青)","Guo, Qing (郭青)","Guo, Qing (郭青)","Guo, Qing (郭青)","Guo, Qing (郭青)"
Hiroshi Fujita,Gifu University,Hiroshi Fujita,Hiroshi Fujita,Hiroshi Fujita,Hiroshi Fujita,Hiroshi Fujita,Hiroshi Fujita
Brent Munsell,"Assistant Professor, Department of Psychiatry, University of North Carolina Chapel Hill",Brent Munsell,Brent Munsell,Brent Munsell,Brent Munsell,Brent Munsell,Brent Munsell
Hao Guo,"Facebook, Inc.",Hao Guo,Hao Guo,Hao Guo,Hao Guo,Hao Guo,Hao Guo
dhaval salvi,Unknown affiliation,dhaval salvi,dhaval salvi,dhaval salvi,dhaval salvi,dhaval salvi,dhaval salvi
Jeff Simmons,Air Force Research Laboratory,Jeff Simmons,Jeff Simmons,Jeff Simmons,Jeff Simmons,Jeff Simmons,Jeff Simmons
Joachim S. Stahl,AWS Rekognition,Joachim S. Stahl,Joachim S. Stahl,Joachim S. Stahl,Joachim S. Stahl,Joachim S. Stahl,Joachim S. Stahl
Guo Dazhou,PAII Inc.,Guo Dazhou,Guo Dazhou,Guo Dazhou,Guo Dazhou,Guo Dazhou,Guo Dazhou
Zhenyao Wu,University of South Carolina,Zhenyao Wu,Zhenyao Wu,Zhenyao Wu,Zhenyao Wu,Zhenyao Wu,Zhenyao Wu
Keith Winstein,"Assistant Professor of Computer Science, Stanford University",Keith Winstein,Keith Winstein,Keith Winstein,Keith Winstein,Keith Winstein,Keith Winstein
Anirudh Sivaraman,"Assistant Professor of Computer Science, New York University",Anirudh Sivaraman,Anirudh Sivaraman,Anirudh Sivaraman,Anirudh Sivaraman,Anirudh Sivaraman,Anirudh Sivaraman
Stefan Mihalas,"Associate Investigator, Allen Institute for Brain Science",Stefan Mihalas,Stefan Mihalas,Stefan Mihalas,Stefan Mihalas,Stefan Mihalas,Stefan Mihalas
Ralph Etienne-Cummings,Johns Hopkins University,Ralph Etienne-Cummings,Ralph Etienne-Cummings,Ralph Etienne-Cummings,Ralph Etienne-Cummings,Ralph Etienne-Cummings,Ralph Etienne-Cummings
Peter N. Steinmetz,Neurtex Brain Research Institute,Peter N. Steinmetz,Peter N. Steinmetz,Peter N. Steinmetz,Peter N. Steinmetz,Peter N. Steinmetz,Peter N. Steinmetz
Marius Usher,Tel-Aviv University,Marius Usher,Marius Usher,Marius Usher,Marius Usher,Marius Usher,Marius Usher
Supratim Ray,"Centre for Neuroscience, Indian Institute of Science, Bangalore",Supratim Ray,Supratim Ray,Supratim Ray,Supratim Ray,Supratim Ray,Supratim Ray
"Nathan E. Crone, M.D.",The Johns Hopkins University School of Medicine,"Nathan E. Crone, M.D.","Nathan E. Crone, M.D.","Nathan E. Crone, M.D.","Nathan E. Crone, M.D.","Nathan E. Crone, M.D.","Nathan E. Crone, M.D."
Daniel M. KAMMEN,Unknown affiliation,Daniel M. KAMMEN,Daniel M. KAMMEN,Daniel M. KAMMEN,Daniel M. KAMMEN,Daniel M. KAMMEN,Daniel M. KAMMEN
Paul J. Fitzgerald,University of Michigan,Paul J. Fitzgerald,Paul J. Fitzgerald,Paul J. Fitzgerald,Paul J. Fitzgerald,Paul J. Fitzgerald,Paul J. Fitzgerald
Shawn Mikula,Keio University School of Medicine,Shawn Mikula,Shawn Mikula,Shawn Mikula,Shawn Mikula,Shawn Mikula,Shawn Mikula
Piotr J Franaszczuk,"Senior Research Scientist US Army Research Laboratory, Adjunct Associate Professor of Neurology JHU",Piotr J Franaszczuk,Piotr J Franaszczuk,Piotr J Franaszczuk,Piotr J Franaszczuk,Piotr J Franaszczuk,Piotr J Franaszczuk
Brian Hu,"Kitware, Inc.",Brian Hu,Brian Hu,Brian Hu,Brian Hu,Brian Hu,Brian Hu
Sudarshan Ramenahalli,Johns Hopkins University,Sudarshan Ramenahalli,Sudarshan Ramenahalli,Sudarshan Ramenahalli,Sudarshan Ramenahalli,Sudarshan Ramenahalli,Sudarshan Ramenahalli
Andreas G. Andreou,"Professor Electrical and Computer Engineering, Johns Hopkins University",Andreas G. Andreou,Andreas G. Andreou,Andreas G. Andreou,Andreas G. Andreou,Andreas G. Andreou,Andreas G. Andreou
Jamal Molin,Johns Hopkins University,Jamal Molin,Jamal Molin,Jamal Molin,Jamal Molin,Jamal Molin,Jamal Molin
alfredo kirkwood,johns hopkins university,alfredo kirkwood,alfredo kirkwood,alfredo kirkwood,alfredo kirkwood,alfredo kirkwood,alfredo kirkwood
Eugenio Culurciello,"Fellow, Micron Inc.",Eugenio Culurciello,Eugenio Culurciello,Eugenio Culurciello,Eugenio Culurciello,Eugenio Culurciello,Eugenio Culurciello
Martin Stemmler,Ludwig-Maximilians-Universität München,Martin Stemmler,Martin Stemmler,Martin Stemmler,Martin Stemmler,Martin Stemmler,Martin Stemmler
Christopher D. Rosin,"Parity Computing, Inc.",Christopher D. Rosin,Christopher D. Rosin,Christopher D. Rosin,Christopher D. Rosin,Christopher D. Rosin,Christopher D. Rosin
Oisin Mac Aodha,"Lecturer (Assistant Professor), University of Edinburgh",Oisin Mac Aodha,Oisin Mac Aodha,Oisin Mac Aodha,Oisin Mac Aodha,Oisin Mac Aodha,Oisin Mac Aodha
Yang Song,Google Inc.,Yang Song,Yang Song,Yang Song,Yang Song,Yang Song,Yang Song
Chen Sun,"Assistant Professor, Brown University",Chen Sun,Chen Sun,Chen Sun,Chen Sun,Chen Sun,Chen Sun
Ryan Farrell,"Assistant Professor of Computer Science, Brigham Young University (BYU)",Ryan Farrell,Ryan Farrell,Ryan Farrell,Ryan Farrell,Ryan Farrell,Ryan Farrell
Panos Ipeirotis,New York Univesity,Panos Ipeirotis,Panos Ipeirotis,Panos Ipeirotis,Panos Ipeirotis,Panos Ipeirotis,Panos Ipeirotis
Subhransu Maji,"University of Massachusetts, Amherst",Subhransu Maji,Subhransu Maji,Subhransu Maji,Subhransu Maji,Subhransu Maji,Subhransu Maji
Genevieve Patterson,"Head of Applied Research, VSCO",Genevieve Patterson,Genevieve Patterson,Genevieve Patterson,Genevieve Patterson,Genevieve Patterson,Genevieve Patterson
Jürgen Konczak PhD,"Professor of Movement Neuroscience and Biomechanics, University of Minnesota, U.S.A.",Jürgen Konczak PhD,Jürgen Konczak PhD,Jürgen Konczak PhD,Jürgen Konczak PhD,Jürgen Konczak PhD,Jürgen Konczak PhD
Francesco Orabona,"Associate Professor, Boston University",Francesco Orabona,Francesco Orabona,Francesco Orabona,Francesco Orabona,Francesco Orabona,Francesco Orabona
Ali Borji,Quintic AI,Ali Borji,Ali Borji,Ali Borji,Ali Borji,Ali Borji,Ali Borji
Douglas Munoz,"Professor, Canada Research Chair in Neuroscience, Queen's University",Douglas Munoz,Douglas Munoz,Douglas Munoz,Douglas Munoz,Douglas Munoz,Douglas Munoz
Christian Siagian,"Postdoctoral Scholar, University of Southern California and California Institute of Technology",Christian Siagian,Christian Siagian,Christian Siagian,Christian Siagian,Christian Siagian,Christian Siagian
Pierre Baldi,"Professor, University of California, Irvine",Pierre Baldi,Pierre Baldi,Pierre Baldi,Pierre Baldi,Pierre Baldi,Pierre Baldi
Dicky Nauli Sihite,"Research Assistant, University of Southern Cailfornia",Dicky Nauli Sihite,Dicky Nauli Sihite,Dicky Nauli Sihite,Dicky Nauli Sihite,Dicky Nauli Sihite,Dicky Nauli Sihite
Brian White,"Centre for Neuroscience Studies, Queen's University, Kingston, ON, Canada",Brian White,Brian White,Brian White,Brian White,Brian White,Brian White
David J. Berg,"Senior Software Engineer, Machine Learning Infrastructure, Netflix",David J. Berg,David J. Berg,David J. Berg,David J. Berg,David J. Berg,David J. Berg
Vidhya Navalpakkam,"Principal Research Scientist, Google",Vidhya Navalpakkam,Vidhya Navalpakkam,Vidhya Navalpakkam,Vidhya Navalpakkam,Vidhya Navalpakkam,Vidhya Navalpakkam
"Susan Boehnke, PhD","Assistant Professor, Queen's University","Susan Boehnke, PhD","Susan Boehnke, PhD","Susan Boehnke, PhD","Susan Boehnke, PhD","Susan Boehnke, PhD","Susan Boehnke, PhD"
Po-He Tseng,"Center for Neuroengineering, Duke University",Po-He Tseng,Po-He Tseng,Po-He Tseng,Po-He Tseng,Po-He Tseng,Po-He Tseng
Terrell Mundhenk,"Scientist, Lawrence Livermore National Lab",Terrell Mundhenk,Terrell Mundhenk,Terrell Mundhenk,Terrell Mundhenk,Terrell Mundhenk,Terrell Mundhenk
Chin-Kai Chang,University of Southern California,Chin-Kai Chang,Chin-Kai Chang,Chin-Kai Chang,Chin-Kai Chang,Chin-Kai Chang,Chin-Kai Chang
Farhan Baluch,"Senior Data Scientist, Apple",Farhan Baluch,Farhan Baluch,Farhan Baluch,Farhan Baluch,Farhan Baluch,Farhan Baluch
Jiaping Zhao,University of Southern California,Jiaping Zhao,Jiaping Zhao,Jiaping Zhao,Jiaping Zhao,Jiaping Zhao,Jiaping Zhao
Ian G.M. Cameron,"Senior Researcher, Donders Centre for Cognitive Neuroimaging",Ian G.M. Cameron,Ian G.M. Cameron,Ian G.M. Cameron,Ian G.M. Cameron,Ian G.M. Cameron,Ian G.M. Cameron
Edward H Adelson,"Professor of Vision Science, MIT",Edward H Adelson,Edward H Adelson,Edward H Adelson,Edward H Adelson,Edward H Adelson,Edward H Adelson
Yair Weiss,"Professor of Computer Science, Hebrew University",Yair Weiss,Yair Weiss,Yair Weiss,Yair Weiss,Yair Weiss,Yair Weiss
Michael Rubinstein,"Staff Research Scientist, Google",Michael Rubinstein,Michael Rubinstein,Michael Rubinstein,Michael Rubinstein,Michael Rubinstein,Michael Rubinstein
Ce Liu,"Azure AI, Microsoft",Ce Liu,Ce Liu,Ce Liu,Ce Liu,Ce Liu,Ce Liu
Anat Levin,Technion,Anat Levin,Anat Levin,Anat Levin,Anat Levin,Anat Levin,Anat Levin
Dileep George,Co-founder at Vicarious AI,Dileep George,Dileep George,Dileep George,Dileep George,Dileep George,Dileep George
Miguel Lázaro-Gredilla,"VP of research, Vicarious AI",Miguel Lázaro-Gredilla,Miguel Lázaro-Gredilla,Miguel Lázaro-Gredilla,Miguel Lázaro-Gredilla,Miguel Lázaro-Gredilla,Miguel Lázaro-Gredilla
Ken Kansky,"Vicarious Systems, FPC.",Ken Kansky,Ken Kansky,Ken Kansky,Ken Kansky,Ken Kansky,Ken Kansky
"Xinghua Lou, Ph.D.",Vicarious AI,"Xinghua Lou, Ph.D.","Xinghua Lou, Ph.D.","Xinghua Lou, Ph.D.","Xinghua Lou, Ph.D.","Xinghua Lou, Ph.D.","Xinghua Lou, Ph.D."
Junkyung Kim,DeepMind,Junkyung Kim,Junkyung Kim,Junkyung Kim,Junkyung Kim,Junkyung Kim,Junkyung Kim
Tom Silver,MIT,Tom Silver,Tom Silver,Tom Silver,Tom Silver,Tom Silver,Tom Silver
Szymon Sidor,OpenAI,Szymon Sidor,Szymon Sidor,Szymon Sidor,Szymon Sidor,Szymon Sidor,Szymon Sidor
Nimrod Dorfman,Weizmann Institute of Science,Nimrod Dorfman,Nimrod Dorfman,Nimrod Dorfman,Nimrod Dorfman,Nimrod Dorfman,Nimrod Dorfman
Stefan Everling,University of Western Ontario,Stefan Everling,Stefan Everling,Stefan Everling,Stefan Everling,Stefan Everling,Stefan Everling
